,0,1,2,3,4,E,std
R2 train,0.30866557857061383,0.3269777920282664,0.321894984267311,0.3385856742859571,0.3197396567614458,0.3231727371827188,0.009756161306728559
R2 test,0.4002840861889473,0.3015368480854004,0.3154560715504727,0.2215600627042279,0.2692064893321614,0.301608711572242,0.0589682529674481
RMSE train,30.698466069553294,27.33225136781773,29.126538893664545,28.870757842606956,29.905072773222827,29.186617389373072,1.1264026448099511
RMSE test,22.521835823004565,36.02900656181146,29.772676857206545,31.297082314162672,27.5760784138937,29.43933599401579,4.434177108302898
Page Popularity,0.3110133327048721,0.6178151468534854,0.13105426657103983,0.24794336904629385,-1.5034215728573108,-0.03911909153632394,0.7496266928227541
Page Checkins,-0.43867214997045495,-0.46853935148943876,-0.5729529073807195,-0.3947443358191825,-0.7096944073654001,-0.5169206304050391,0.11286448949532621
Page talking about,-2.159468812215063,-1.935587580280222,-1.468952664416787,-1.9112625733141846,-0.5931688098391567,-1.6136880880130828,0.5572170845016736
Page Category,0.001341900366115035,-0.03905912481066689,-0.1520520600900193,-0.05501075006827553,-0.14092046252061047,-0.07714009942469142,0.05963057871432631
extra_0,0.5252777320448686,0.2741419306149571,-0.1392759371521906,-0.253222280964833,-0.46409139674809363,-0.011433990441058283,0.3603656332112472
extra_1,0.9047218837728613,0.554300838004843,0.7655377733292182,1.1141380865805088,0.5042634582360291,0.7685924079846921,0.2252700830590442
extra_2,0.6756304696816803,0.42286952414809625,0.9387877308970314,0.15995940051066665,0.4152594896485319,0.5225013229772013,0.26442649666347173
extra_3,-0.38832513454969564,-0.034686917613141834,0.2567888806433063,-0.43861070078692344,-0.14694789544226478,-0.15035635354974386,0.25253830883824785
extra_4,2.471104293505632,1.296780986429655,1.8295687573899402,2.3326429432075226,2.034746377458096,1.9929686715981692,0.4140324831171223
extra_5,-1.7304191448847173,-1.4281642376521742,-0.9451955476452958,0.540557400583383,-1.2665567131260835,-0.9659556485449776,0.7947848471241931
extra_6,-0.32368845014130443,-0.32268246169353687,-0.10106731159610446,-0.40808781192481947,-0.19729499731476877,-0.27056420653410684,0.10821165762764391
extra_7,1.0157230632550243,1.4378253797521625,1.1392764707674221,0.9717286861088593,1.112475913991916,1.135405902775077,0.1631640395849869
extra_8,3.6504069669903134,2.6816755194777833,2.74506533926694,4.574002189630388,3.393035272993783,3.408837057671841,0.6907347246232909
extra_9,-0.1932157822571132,0.5202420223512799,-0.2960362372034553,-0.4726882719082372,0.22313110717987203,-0.04371343236753075,0.3631222732400523
extra_10,0.08936138840670463,0.12842256576703343,0.18889975207366944,-0.18871486727784959,0.2893871347965981,0.10147119475323119,0.16002320304499323
extra_11,0.7190632561110472,0.6822795266994246,0.8881733438210807,0.5412957878060717,0.42529369981782145,0.6512211228510891,0.1580128566166009
extra_12,0.6615894222116268,0.9881108858041224,0.9683003112902733,0.7316039161956344,1.2252352576622747,0.9149679586327863,0.20113830031103
extra_13,3.0663658506270433,1.369022687899214,2.3657241823820274,4.609199570864806,3.867580934204514,3.0555786451955207,1.1308025679834397
extra_14,0.15113645542717397,0.5346462987448767,0.09478330098808298,0.022446220640472633,0.1093243084246348,0.18246731684504822,0.18091810065181035
extra_15,-0.3246713661104779,-0.06081938139122979,-0.36353186257482306,-0.4898478496610729,-0.07461667060512017,-0.26269742606854474,0.16836554473321033
extra_16,-1.1018537066234229,-0.657214868212087,-1.1209994713508316,-1.2296501124404948,-0.9712379296115523,-1.0161912176476777,0.19736886754873853
extra_17,-0.578370955803445,-0.38891095861873265,-0.14245891306651515,-1.091779405203886,-0.6289473704623044,-0.5660935206309766,0.3134667229865886
extra_18,-1.5644400959876787,-0.5975767700503213,-0.6639280626898629,-1.638991102400312,-1.417341361015854,-1.176455478428806,0.45172606438697743
extra_19,0.6598900866634131,0.15674886786844472,0.2090615762183429,0.3916279172499609,0.7469697719416698,0.4328596439883663,0.2358943769999787
extra_20,0.00048318234949513126,0.14324678235704152,0.13961038306672185,-0.18052747512421516,0.5518498667029842,0.1309325478704055,0.24142192003896856
extra_21,-0.29267783282988696,-0.48037600821144655,-0.1814425826012982,-0.0986953848281595,-0.38107348158418264,-0.28685305801099475,0.1362917655458063
extra_22,0.965428458446012,1.2752916562587844,0.6820297304825138,0.7488301547161091,0.1700955286090928,0.7683351057025024,0.36375002030332526
extra_23,-0.48310607534757494,-0.6292184278545072,-0.5010079358667726,0.4370632056638374,0.5075632553978148,-0.13374119560144054,0.49790108028836044
extra_24,-0.8070288174901779,-0.4640960187217413,-1.2934927853217923,-0.6515568209040993,-0.760455488936136,-0.7953259862747893,0.2756468508190928
CC1,-0.4699553118318205,-0.5110854145270036,-0.774289334221326,-0.5536881668697625,-1.0519560550635114,-0.6721948565026847,0.21704505132490137
CC2,10.91401795171446,10.502795081958062,10.691833145221317,11.178384877319935,10.547296189646486,10.766865449172052,0.25082893132688905
CC3,2.952945596648811,3.011654739736167,3.041865902439932,3.0398316888925287,2.7769413636582043,2.9646478582751286,0.09919229071271597
CC4,-1.2394313286834884,-1.2164389865068943,-0.9669093965497412,-1.2422418613716455,-1.3964567756834083,-1.2122956697590355,0.13840521772380618
CC5,6.707252969954289,6.3262670060313155,6.458260828814913,6.858148801237424,6.5398482639225985,6.577955573992108,0.18673628224995167
Base Time,-4.248387389697936,-4.0187256123428385,-4.15088137890535,-3.8834249906798792,-4.072997309602975,-4.0748833362457955,0.12303894033167122
Post Length,0.01983189637750844,0.1343527570789989,0.022035775861111627,0.051922103737456385,-0.05583916920911203,0.034460672769192666,0.06132824912292542
Post Share Count,2.5057620372438887,2.5863936317571246,1.9950373707877753,2.2950352888650474,5.973579393504229,3.071161544431613,1.4655457075221245
H Local,0.779498877134791,0.7712592923100946,0.7315078815214294,0.8879473977208593,0.9728614484400915,0.8286149794254533,0.08883606755818878
